,Cluster,Antibody
1096,8,BD55-4397
1097,8,BD55-5176
1098,8,BD55-5920
1099,8,BD55-5921
1100,8,BD55-5930
1101,8,BD55-5939
1102,8,BD55-5941
1103,8,BD55-5967
1104,8,BD55-824
1105,8,BD55-852
1106,8,BD55-862
1107,8,BD55-870
1108,8,BD55-878
1109,8,BD55-893
1110,8,BD55-93
1111,8,BD55-931
1112,8,BD55-972
1113,8,BD56-1230
1114,8,BD56-1417
1115,8,BD56-1448
1116,8,BD56-1460
1117,8,BD56-1651
1118,8,BD56-1757
1119,8,BD56-1777
1120,8,BD56-1881
1121,8,BD56-1927
1122,8,BD56-461
1123,8,BD56-475
1124,8,BD56-486
1125,8,BD56-605
1126,8,BD56-907
1127,8,BD56-908
1128,8,BD56-940
1129,8,BD57-020
1130,8,BD57-060
1131,8,BD57-077
1132,8,BD58-0577
1133,8,BD58-0580
1134,8,COV2-2780
1135,8,COV2-2955
1136,8,CV07-270
1137,8,P2B-2F6
1138,8,XG2v-045
1139,8,XGv-010
1140,8,XGv-172
1141,8,XGv-271
